MasVnrArea,SaleType_WD,OverallQual,OverallCond,ExterQual_Gd,ExterCond_Fa,BsmtUnfSF,BsmtFinType1_LwQ,LotArea,YearBuilt,BsmtFinSF1,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
120.0,True,7,5,False,False,400,False,7500,2004,680,6,0,0,141000
0.0,True,5,4,False,False,896,False,6240,1936,0,7,1,240,115000
0.0,True,5,6,False,False,253,False,10356,1975,716,5,2,440,122000
436.0,False,8,5,True,False,310,False,13891,2007,1400,6,3,866,372402
252.0,True,6,5,False,False,409,False,14803,1971,416,8,2,495,190000
0.0,True,6,7,False,False,93,False,13500,1960,429,4,2,564,235000
0.0,True,6,5,False,False,1200,False,11340,1923,0,7,1,312,125000
0.0,True,6,5,False,False,572,False,9600,1924,0,5,0,0,79000
0.0,True,5,7,False,False,0,False,7200,1950,0,5,2,625,109500
84.0,False,8,5,True,False,774,False,12003,2009,0,8,3,680,269500
0.0,True,7,5,True,False,769,False,12552,2004,222,8,2,678,254900
456.0,False,7,5,True,False,1335,False,19378,2005,57,9,2,576,320000
0.0,True,6,6,False,False,572,False,11120,1984,660,6,2,516,162500
664.0,True,9,5,True,False,556,False,13688,2003,1016,10,3,726,412500
226.0,False,7,5,True,False,340,False,12182,2005,1201,7,2,532,220000
0.0,True,4,6,False,False,882,False,5500,1956,0,4,0,0,103200
0.0,True,6,7,False,False,779,True,5400,1926,370,5,1,216,152000
0.0,True,5,7,False,False,112,False,10106,1940,351,6,0,0,127500
0.0,False,5,5,True,False,470,True,10708,1955,379,7,1,303,190000
300.0,False,8,5,True,False,294,False,10562,2007,1288,8,3,789,325624
0.0,True,7,5,True,False,840,False,8244,2004,0,7,2,440,183500
653.0,True,8,6,True,False,1686,False,16669,1981,0,6,2,511,228000
0.0,True,5,6,False,False,360,False,12358,1941,360,7,2,660,128500
112.0,True,6,5,False,False,441,False,31770,1960,639,7,2,528,215000
0.0,True,7,7,True,False,354,False,5306,1987,495,5,2,504,239000
491.0,False,6,5,False,False,700,False,10197,1961,288,6,2,504,163000
132.0,True,6,5,False,False,0,False,12416,1986,1398,7,2,616,184000
0.0,True,6,7,False,False,725,False,12615,1950,477,7,2,576,243000
268.0,True,6,5,True,False,320,False,10029,1988,831,8,2,521,211000
0.0,True,5,5,True,False,554,False,13650,1958,57,8,2,451,172500
748.0,False,9,5,False,False,312,False,17423,2008,1904,9,3,1166,501837
0.0,True,5,6,True,False,968,False,8520,1923,0,5,2,480,100000
456.0,True,6,5,True,False,320,False,2117,2000,436,5,2,440,177000
0.0,True,7,6,False,False,441,True,7588,1920,352,9,1,216,200100
98.0,True,5,6,False,False,0,False,9060,1957,0,7,1,252,120000
0.0,True,7,5,False,False,1362,False,11426,2003,0,6,2,484,200000
0.0,True,5,8,False,False,504,False,7438,1908,0,5,2,576,127000
0.0,True,10,9,True,False,1107,False,22950,1892,0,12,3,840,475000
0.0,True,7,5,False,False,577,False,9947,1990,611,6,2,497,173000
0.0,True,5,7,False,False,660,False,10410,1916,0,8,1,180,135000
275.0,True,5,5,False,False,0,False,7018,1979,1086,6,2,528,153337
0.0,True,8,5,True,False,440,False,4923,2001,1153,5,2,682,286000
0.0,True,8,8,True,False,556,False,10570,1932,297,10,2,440,315000
138.0,True,7,9,False,False,99,False,7472,1972,626,7,2,484,184000
0.0,True,7,5,True,False,871,False,9017,1999,560,6,2,666,192000
50.0,True,7,5,True,False,970,False,2522,2004,0,7,2,380,130000
0.0,True,5,7,False,False,474,False,7180,1972,390,5,1,352,127000
0.0,True,6,6,False,False,289,False,2280,1976,566,7,2,440,148500
205.0,False,7,5,False,False,600,False,9416,2007,1126,8,3,786,311872
0.0,True,8,4,True,False,140,False,25419,1918,1036,8,2,795,235000
0.0,True,6,6,False,False,755,False,5520,1912,0,8,0,0,104000
262.0,True,8,5,True,False,625,False,9591,2004,1088,7,3,856,274900
0.0,True,4,5,False,False,1121,False,8546,2003,0,5,2,440,140000
0.0,True,6,6,False,False,276,False,10125,1977,641,6,2,473,171500
0.0,False,6,6,False,False,0,True,7000,1924,617,6,1,398,112000
205.0,True,6,5,True,False,186,False,4438,2004,662,3,2,420,149000
0.0,True,5,7,False,False,408,True,3500,1947,312,5,1,240,110000
0.0,True,7,5,False,False,1424,False,11851,1990,0,5,2,500,180500
0.0,True,5,5,False,False,1140,False,13673,1962,0,8,1,349,143900
0.0,True,4,5,False,False,375,False,12493,1960,419,6,1,312,141000
128.0,True,7,5,True,False,92,False,14364,1988,1065,7,2,454,277000
260.0,True,6,7,False,False,305,False,8250,1964,787,6,2,504,145000
0.0,True,5,6,False,False,396,False,5604,1925,468,5,0,0,98000
0.0,True,6,5,False,False,1176,False,10420,2009,36,6,2,460,186000
0.0,False,7,5,False,False,78,False,8640,2009,822,7,2,644,252678
0.0,True,5,5,False,False,274,False,13568,1995,716,5,2,576,156000
153.0,True,6,7,False,False,311,False,10900,1977,378,6,1,299,161750
64.0,True,5,6,False,False,710,False,10011,1957,360,6,1,447,134450
266.0,True,7,5,True,False,490,False,8450,2004,946,8,2,484,210000
0.0,True,4,4,False,False,686,False,9906,1925,0,8,1,210,107000
312.0,True,7,9,True,False,457,False,15660,1939,341,8,2,431,311500
16.0,False,7,5,True,False,1232,False,3010,2005,16,5,2,438,167240
0.0,False,7,5,True,False,1498,False,8990,2006,0,5,2,675,204900
0.0,False,6,5,True,False,1010,False,8068,2002,0,8,2,390,200000
0.0,True,6,6,False,False,163,False,11475,1975,550,6,2,434,179900
0.0,True,4,6,False,False,160,False,10500,1971,524,4,2,576,97000
922.0,True,10,5,False,False,2336,False,13472,2003,56,8,3,968,386250
142.0,False,5,5,False,False,630,False,1680,1971,0,6,1,280,112000
290.0,True,7,5,True,False,638,False,9950,1995,565,9,3,721,290000
127.0,True,6,6,False,False,162,False,1869,1970,321,5,1,280,106000
0.0,True,5,5,False,False,70,False,8521,1967,842,5,1,336,125000
16.0,True,7,5,True,False,1357,False,3182,2005,16,7,2,430,192500
220.0,True,6,6,False,False,1194,False,8760,1959,0,6,1,312,148000
506.0,True,8,5,True,False,773,False,15138,1995,689,9,3,810,403000
297.0,True,6,5,False,False,483,False,1680,1972,0,5,1,288,94500
0.0,True,5,6,False,False,0,True,10650,1976,182,5,1,308,128200
0.0,True,6,5,True,False,235,False,7851,2002,625,8,2,440,216500
604.0,True,6,3,False,False,125,False,1680,1971,358,5,1,264,89500
98.0,True,7,5,True,False,1390,False,8773,2004,24,6,2,494,185500
0.0,True,7,7,True,False,594,False,9453,1993,402,7,2,457,194500
254.0,False,8,5,False,False,1694,False,12030,2007,0,7,3,818,318000
0.0,True,6,4,False,False,641,True,8741,1945,94,7,1,220,113000
36.0,True,8,5,True,False,488,False,9000,2008,1078,7,2,750,262500
0.0,True,5,9,False,False,357,False,3880,1945,329,4,0,0,110500
0.0,True,5,4,False,False,540,False,5000,1900,0,6,1,352,79000
0.0,True,6,6,False,False,626,False,10762,1980,0,6,1,288,120000
0.0,True,7,5,True,False,253,False,8880,1994,695,8,2,463,205000
102.0,True,7,5,False,False,916,False,10400,1988,929,6,2,604,241500
0.0,True,6,8,False,True,1020,False,9142,1910,0,9,1,440,137000
0.0,True,6,5,False,False,1367,False,11310,1954,0,5,2,451,140000
101.0,True,7,5,True,False,840,False,11317,2003,0,8,2,500,180000
472.0,True,6,7,True,False,747,False,159000,1958,697,7,2,389,277000
0.0,True,3,2,False,False,728,False,5350,1940,0,6,0,0,76500
481.0,True,8,5,True,False,0,False,4750,2006,1573,5,2,538,235000
0.0,True,6,5,True,False,798,False,8366,2004,0,6,2,520,173000
108.0,False,6,7,False,False,452,True,9350,1964,270,7,1,309,158000
0.0,True,5,6,False,False,392,False,8400,1957,922,5,1,294,145000
302.0,True,7,5,True,False,975,False,8738,1999,0,8,2,429,230000
0.0,True,6,5,True,False,361,False,8791,2003,503,7,2,673,207500
180.0,True,7,5,True,False,270,False,8814,2006,1334,8,2,660,220000
172.0,True,7,5,True,False,602,False,12435,2001,361,7,2,564,231500
0.0,True,5,5,False,False,0,False,12702,1956,0,4,1,308,97000
399.0,True,6,5,False,False,0,False,19296,1962,672,6,2,884,176000
270.0,False,8,5,True,False,1482,False,9588,2007,0,10,3,868,276000
46.0,True,6,7,False,False,0,False,8471,1977,506,6,2,492,151000
0.0,True,5,7,False,False,0,True,5500,1929,234,6,2,484,130000
0.0,True,5,5,False,False,680,False,5232,1925,0,4,2,504,73000
210.0,True,6,6,False,False,606,False,12090,1981,588,7,2,576,175500
0.0,True,6,5,False,False,88,False,11207,1997,714,8,2,413,185000
0.0,True,5,8,False,False,342,True,8400,1939,378,8,1,240,179500
0.0,True,5,6,False,False,212,False,6900,1940,403,4,1,924,120500
174.0,True,6,7,False,False,392,False,7917,1976,751,6,1,504,148000
0.0,False,8,5,True,False,1095,False,10728,2006,0,8,3,1053,266000
0.0,True,7,7,False,False,96,True,39104,1954,226,5,2,439,241500
348.0,True,8,7,True,False,628,False,11764,1999,524,9,3,671,290000
183.0,True,6,6,False,False,0,False,9600,1958,620,6,1,338,139000
0.0,True,5,7,False,False,270,False,8314,1982,546,5,1,264,124500
0.0,True,7,7,True,False,952,False,7264,1925,0,5,2,672,205000
0.0,True,7,5,True,False,1560,False,9196,2003,0,7,2,573,201000
0.0,True,4,5,False,False,744,True,19138,1951,120,4,2,400,141000
315.0,False,9,5,False,False,2121,False,14450,2006,0,8,3,732,415298
299.0,True,7,5,False,False,768,False,10005,1977,392,8,2,505,192000
340.0,True,7,6,True,False,386,False,11287,1989,421,7,2,575,228500
68.0,False,6,5,True,False,357,False,7200,2006,905,5,2,572,185000
166.0,False,7,5,True,False,410,False,5063,2007,904,6,2,626,207500
72.0,False,8,5,True,False,1468,False,9612,2008,0,6,3,898,244600
0.0,True,6,5,True,False,1145,False,8012,1992,430,5,2,529,179200
0.0,False,7,5,True,False,625,False,4251,2006,0,5,2,528,164700
0.0,True,6,7,False,False,312,False,9786,1962,600,7,2,440,159000
0.0,True,4,4,False,False,244,False,8125,1971,614,5,0,0,88000
31.0,True,5,5,False,False,432,False,9819,1967,450,5,1,280,122000
0.0,True,6,7,False,False,698,False,8730,1915,0,7,1,384,153575
0.0,False,8,5,True,False,1079,False,15611,2006,0,8,2,685,233230
0.0,True,5,6,False,True,570,False,5687,1912,210,9,0,0,135900
0.0,True,5,4,False,False,476,True,11409,1949,292,8,1,281,131000
34.0,True,7,7,False,False,0,False,16659,1977,795,9,2,539,235000
238.0,True,6,5,False,False,131,False,9600,1953,1285,7,2,418,167000
0.0,True,6,6,False,False,184,False,7937,1984,819,6,2,588,142500
0.0,True,5,5,False,False,490,False,13710,1950,420,6,1,282,152000
1600.0,True,7,5,True,False,326,False,7399,1997,649,7,2,576,239000
365.0,True,6,6,True,False,143,False,11700,1968,384,7,2,539,175000
0.0,True,6,8,False,False,1092,False,14000,1950,0,6,1,300,158500
56.0,True,5,5,False,False,324,False,15750,1953,841,5,1,375,157000
0.0,True,8,5,True,False,747,False,16226,1998,281,9,2,683,267000
150.0,True,7,5,True,False,1541,False,13704,2001,0,6,3,843,205000
0.0,True,5,7,False,False,0,False,9800,1972,894,5,2,552,149900
0.0,True,7,9,False,False,1470,False,18386,1880,0,10,3,870,295000
246.0,True,8,5,True,False,536,False,10386,2004,1464,8,3,888,305900
246.0,True,7,5,True,False,0,False,13474,1990,700,8,3,746,225000
0.0,True,6,7,False,True,319,False,7920,1920,0,6,0,0,89500
0.0,True,4,5,False,False,599,False,12342,1940,262,4,2,539,82500
0.0,True,9,5,True,False,622,False,12378,2003,1274,8,3,708,360000
112.0,True,6,5,False,False,179,False,7685,1993,518,6,2,420,165600
0.0,True,6,6,False,False,292,False,8000,1948,680,5,1,240,132000
0.0,True,5,7,False,False,286,False,7800,1939,507,5,2,410,119900
0.0,True,7,5,False,False,80,False,215245,1965,1236,8,2,513,375000
0.0,True,7,7,False,False,712,True,9600,1925,16,6,2,546,178000
0.0,True,7,5,True,False,291,False,7795,2004,425,6,2,432,188500
278.0,True,7,7,True,False,153,False,13005,1980,692,10,2,484,260000
0.0,True,8,5,True,False,1088,False,9000,2006,0,8,3,1025,270000
256.0,True,7,5,True,False,360,False,9900,1993,987,9,3,656,260000
225.0,True,7,5,False,False,336,False,14115,1980,1036,6,2,588,187500
370.0,False,9,5,False,False,1249,False,16259,2006,0,9,3,840,342643
388.0,True,8,5,True,False,166,False,12099,2004,970,10,3,872,354000
172.0,True,7,5,True,False,0,True,10380,1986,28,8,2,576,301000
0.0,True,3,8,False,False,906,False,5820,1955,256,6,1,220,126175
300.0,True,7,7,True,False,710,False,11275,1967,0,11,2,564,242000
0.0,True,5,6,False,False,604,False,5000,1941,116,5,2,360,87000
0.0,False,8,5,True,False,100,False,10846,1993,1619,6,2,473,324000
175.0,True,6,5,False,False,818,False,11600,1960,565,7,1,292,145250
0.0,True,6,6,False,False,844,False,11888,1916,0,10,2,441,214500
0.0,True,5,5,False,False,596,False,6402,1920,0,6,1,189,78000
84.0,True,5,4,False,False,1424,False,10624,1964,40,10,1,352,119000
0.0,True,5,6,False,False,210,False,8176,1958,846,6,1,308,139000
296.0,True,8,5,True,False,1603,False,10655,2003,1124,7,3,880,284000
146.0,True,7,5,True,False,638,False,8198,2004,720,6,2,484,207000
0.0,True,6,5,False,False,115,False,9042,1998,828,7,2,472,192000
0.0,True,5,6,False,False,103,False,164660,1965,1249,7,2,529,228950
200.0,True,9,5,True,False,673,False,14157,2005,1249,8,3,676,377426
113.0,True,7,5,True,False,726,False,9135,2002,810,7,2,532,214000
0.0,True,7,7,True,False,995,False,14145,1984,213,8,2,440,202500
176.0,True,6,7,False,False,630,False,12400,1958,585,6,1,297,155000
0.0,True,8,5,True,False,967,False,14191,2002,0,9,2,431,202900
0.0,True,4,4,False,True,721,False,8400,1950,0,4,1,294,82000
340.0,True,3,4,False,False,0,False,8544,1949,0,6,2,400,87500
616.0,True,9,5,False,False,1656,False,8849,2005,28,6,2,564,266000
0.0,True,5,3,False,False,175,False,2592,1976,129,4,1,336,85000
0.0,True,6,5,False,False,972,False,6435,1939,0,6,1,312,140200
0.0,True,6,8,False,False,460,False,12772,1960,498,5,1,301,151500
30.0,True,6,5,False,False,208,False,17600,1960,1270,6,2,498,157500
106.0,True,7,5,True,False,191,False,2448,2003,573,6,2,474,154000
870.0,False,9,5,False,False,438,False,20431,2005,1410,10,3,706,437154
362.0,False,9,5,False,False,1869,False,7820,2007,0,6,2,617,318061
0.0,True,7,5,False,False,371,False,5271,1986,1082,6,2,445,190000
0.0,False,5,6,False,False,0,True,9084,1941,236,5,1,200,95000
0.0,True,6,8,False,False,624,False,8520,1928,0,5,2,484,105900
0.0,True,6,5,False,False,552,True,8400,1940,388,6,1,240,140000
0.0,True,6,5,True,False,322,False,11249,1995,334,6,2,521,177500
106.0,True,6,6,False,False,598,False,9248,1992,560,6,2,400,173000
0.0,True,5,5,False,False,268,False,4224,1976,874,6,2,528,134000
120.0,True,5,4,False,False,468,False,6930,1958,300,6,1,288,130000
530.0,True,8,5,True,False,130,False,12011,1998,956,7,2,592,280000
0.0,True,6,6,False,False,115,False,7540,1978,773,5,2,470,156000
0.0,True,5,5,False,False,484,False,9144,1940,399,8,1,240,145000
500.0,False,7,5,True,False,0,False,7301,2003,0,7,2,672,198500
510.0,True,6,8,False,False,321,False,1680,1972,162,5,1,264,118000
120.0,True,6,5,False,False,84,False,18800,1976,712,6,2,566,190000
0.0,True,5,7,False,False,216,False,10690,1920,456,6,1,468,147000
247.0,True,6,5,False,False,785,False,9500,1963,609,6,2,514,159000
305.0,True,6,5,False,False,728,False,9150,1962,371,6,1,296,165000
200.0,True,5,6,False,False,728,True,7800,1954,540,7,1,244,132000
0.0,True,5,7,False,False,733,False,9830,1959,72,7,2,576,162000
0.0,True,6,5,False,False,953,False,8121,2000,0,7,2,460,172400
0.0,True,4,4,False,False,0,False,17120,1959,0,7,2,680,134432
0.0,True,6,5,False,False,0,False,7175,1984,623,4,1,264,125000
0.0,True,5,6,False,False,0,False,10634,1953,428,5,1,270,123000
0.0,True,7,5,True,False,847,False,8200,2003,0,8,2,434,219500
0.0,True,1,1,False,True,333,False,10020,1922,350,4,0,0,61000
0.0,True,5,5,True,False,572,False,8846,1996,298,5,2,576,148000
0.0,True,8,5,True,False,1580,False,11143,2004,0,8,2,610,340000
350.0,False,9,2,True,False,411,False,11394,2010,1445,8,3,834,394432
16.0,True,6,5,False,False,982,False,8123,2000,0,7,2,463,179000
0.0,True,5,6,False,False,808,True,5000,1924,218,6,1,308,127000
0.0,False,7,5,True,False,1293,False,7200,2006,0,5,2,572,187750
0.0,True,7,5,True,False,939,False,9245,2006,0,8,2,639,213500
0.0,True,6,3,False,False,784,False,9000,1928,0,5,2,360,76000
0.0,True,6,5,True,False,595,False,53107,1992,985,9,2,501,240000
16.0,True,8,5,True,False,1232,False,3182,2004,24,6,2,430,192000
0.0,True,5,3,False,True,658,False,8410,1910,0,8,0,0,81000
255.0,True,6,6,False,False,410,False,7200,1976,631,6,1,352,125000
125.0,True,7,5,True,False,1468,False,9382,1999,0,6,2,577,191000
